,OrderID,CustomerID,Region,Product,Category,Quantity,Price,TotalSales,OrderDate,year
0,bc6566ab-f553-407a-ad19-c411a53445e4,9ade37c6-79db-4e9f-a1d3-d5fafc1b8911,North,Tablet,Electronics,126,454.19,57227.94,2024-11-15,2024
1,cd57b082-60e0-417f-befc-acd9a986b542,27d11f45-2466-4992-9b73-44096bdddf71,North,Smartwatch,Electronics,217,73.25,15895.25,2022-05-08,2022
2,0c0b1115-a076-4a61-a421-590802110d5c,7a484f85-2993-4504-bd07-34392fb43aa7,North,Table,Furniture,259,1208.02,312877.18,2024-12-05,2024
3,40cfbe52-5f11-4d3e-9334-6b2c61c9d2d7,fc157279-55a2-4b54-92a2-4cbf503429e1,South,Microwave,Home Appliances,230,1182.64,272007.2,2023-12-14,2023
4,3ee1faef-ef08-4bca-b801-92816e22838d,8ff40b0b-224a-4f12-9914-154b3c77f6e2,North,Bed,Furniture,175,562.96,98518.0,2024-05-25,2024
5,d911edc9-c888-4bcf-b630-7df160f738da,c299edc8-33b7-4607-85fb-e31b34131d66,South,T-Shirt,Clothing,48,766.06,36770.88,2023-02-10,2023
6,d797052d-b0d8-4a28-93d0-af5e1602feaf,8e5ce11a-139a-489f-a303-6150db69b060,East,Dress,Clothing,136,1616.19,219801.84,2022-12-13,2022
7,9b55b20e-57f5-4678-bdbe-346324509e97,d2039b63-2b22-40e0-b8c7-f33f4809b942,West,Headphones,Electronics,41,1108.56,45450.96,2024-03-29,2024
8,11031303-5764-444a-8967-534247506b1e,66858767-c39b-42a6-881b-fc8b090413d7,East,Sofa,Furniture,24,1325.91,31821.84,2024-01-23,2024
9,2a8b5efe-aa99-4dcb-8cc9-689f95cd8e28,71d183d4-1081-4aa6-8e8d-d0f5c9095ee8,East,Smartphone,Electronics,52,766.45,39855.4,2023-10-09,2023
10,8b2d9f1b-c700-469a-8c32-07aa68313592,dadf1e5a-3612-4270-9a20-1ee341120bd0,West,Jeans,Clothing,190,716.99,136228.1,2024-05-26,2024
11,c12358c1-e8ed-4161-8952-cc78dc97786b,11df8567-dec3-4c80-8c7c-c7c66fb52b0f,East,Smartwatch,Electronics,88,1072.94,94418.72,2024-03-21,2024
12,09a919ea-2548-4aa6-911d-0d97355ff36d,7de85cb9-dcdb-4269-95a5-d21cdc579e3a,South,Bed,Furniture,195,547.2,106704.0,2023-11-17,2023
13,4cd7d722-45aa-4e7b-8e34-ff7b3aacd546,906065dd-baf6-44cb-8aba-c008fdf62fb0,South,T-Shirt,Clothing,118,1645.39,194156.02,2023-02-07,2023
14,6f725d1f-275e-49fd-b0ae-1b9b0d6a95fb,3cb09286-ed9a-497e-985d-7ea3a985f97b,East,Washing Machine,Home Appliances,34,429.86,14615.24,2023-12-04,2023
15,0bc7d7d5-7dd3-4ef0-be3f-cb20de0ffade,b732121c-624d-4f09-9228-0b50260ffea2,East,Bed,Furniture,203,1770.52,359415.56,2022-06-10,2022
16,7d399dfa-26c4-47b5-b6b4-429ef076e958,773e39cc-0b25-4faf-9e34-7f0c061746dc,West,Chair,Furniture,72,500.79,36056.88,2022-09-12,2022
17,972853e4-1ed1-4c48-81cd-598c1bf3ad4e,3b658f30-2fd7-41a2-a574-5afb1881d762,East,Air Conditioner,Home Appliances,205,730.37,149725.85,2024-02-07,2024
18,c3b6ec12-68d2-4d11-b80c-66d24e99329f,8d494737-127d-446d-92e1-395392bec434,South,Refrigerator,Home Appliances,25,1723.59,43089.75,2024-06-04,2024
19,49b2ad1d-cf74-4dcc-904b-4be18470c3e2,c48aef38-0a45-49be-8f8a-0a42a83d4ef7,South,Bed,Furniture,33,775.69,25597.77,2023-08-19,2023
20,c6eb33f6-bf5e-49c7-beaf-017db251198a,2a47e71a-b403-49f3-b5f5-a7f4d9eb67d4,West,Dress,Clothing,6,1363.76,8182.56,2022-08-28,2022
21,fa894fbc-776a-4683-b24b-98a23729d345,e1676a25-169d-4c35-a6d4-d543c0f3c714,North,Jacket,Clothing,58,594.07,34456.06,2023-04-26,2023
22,07602fa5-14d6-4d1f-ab16-cf26062dc661,b8ca39c6-d149-4ca4-b912-b41002a689f4,South,Refrigerator,Home Appliances,135,1944.06,262448.1,2023-05-22,2023
23,2a68385e-b949-496e-9870-9e4a286b4780,b6508e9c-b06c-44fd-a459-5315829f6423,South,Tablet,Electronics,260,1221.85,317681.0,2023-12-13,2023
24,f1df497e-337d-43d4-90f3-199cf5450dd0,4976c0f2-1abe-4788-b311-01c5b690bdc5,South,Jeans,Clothing,277,1907.46,528366.42,2023-03-13,2023
25,64e2e04a-9580-48b3-80df-2a632b84a149,ba61df96-09b4-46bd-942a-de24c5e9056c,North,Shirt,Clothing,10,232.62,2326.2,2024-03-06,2024
26,c331aa32-0243-4252-ba4a-7fc64e7dffba,7d0b2f08-8ab1-43e4-a08f-deb51ec522a2,East,Jeans,Clothing,30,489.33,14679.9,2023-02-28,2023
27,15b7e9fb-6798-4601-ac87-d922c624c74d,c621396b-11e0-4732-8c57-bd0133671176,North,Headphones,Electronics,36,1956.19,70422.84,2024-06-19,2024
28,54faca33-e9c5-42b6-849a-b942eeaf1e5f,29fe0d09-1e6c-4246-92ff-579cfb4577c2,South,Bed,Furniture,282,338.6,95485.2,2024-08-19,2024
29,2bfdeada-e2ad-4d1d-a0b9-3bff5f640a63,86bc0abc-9373-4c29-8920-ab18c23b111d,West,Wardrobe,Furniture,103,1428.77,147163.31,2024-03-30,2024
30,79a60d0c-494f-47ac-9776-2b7100f02062,20b2223f-a9f3-44f8-a590-c78c1d0aa480,West,Shirt,Clothing,265,908.46,240741.9,2023-06-12,2023
